Rank,Song,Artist,Genius Lyrics Link,Lyrics,Audio Link
21,Die For You,The Weeknd & Ariana Grande,https://genius.com/Ariana-grande-and-the-weeknd-die-for-you-remix-lyrics,"  I'm findin' ways to articulate the feelin' I'm goin' through I just can't say I don't love you (Yeah) 'Cause I love you, yeah It's hard for me to communicate the thoughts that I hold But tonight, I'm gon' let you know Let me tell the truth Baby, let me tell the truth, yeah   You know what I'm thinkin', see it in your eyes You hate that you want me, hate it when you cry You're scared to be lonely, 'specially in the night I'm scared that I'll miss you, happens every time I don't want this feelin', I can't afford love I try to find a reason to pull us apart It ain't workin' 'cause you're perfеct And I know that you're worth it I can't walk away, oh   Even though we'rе goin' through it ( Ah ) And it makes you feel alone Just know that I would die for you ( Ooh, ooh ) Baby, I would die for you,  yeah The distance and the time between us ( Distance and the time ) It'll never change my mind 'cause Baby, I would die for you ( I would die for you ) Baby, I would die for you,  yeah",https://music.youtube.com/watch?v=RpyN9pFXUCg
22,Thinkin' Bout Me,Morgan Wallen,https://genius.com/Morgan-wallen-thinkin-bout-me-lyrics,"  Don't know where you at, don't know where you've been Don't know nothin' 'bout that boy you're into Don't feel bad for you but I feel bad for him And all the hell you gon' be puttin' him through Probably tell him we're a burnt out flame Probably tell him that I ain't been on your mind How I ain't nothin' but a long gone thing You can cuss my name, but baby, don't you lie   When you're tasting what he's drinking, are you thinkin' 'bout me? When you're ridin' where he's drivin', are you missin' my street? Every time you close your eyes, tell me, who do you see? When you're tastin' what he's drinkin', are you thinkin' 'bout me? Comin' over tonight, wish that truck in your drive was mine Just like you know it's supposed to be When you're up in his bed, am I up in your head? Makin' you crazy, tell me, baby, are you thinkin' 'bout me? Are you thinkin' 'bout, are you thinkin' 'bout When you're tastin' what he's drinkin', are you thinkin' 'bout me?   Do you hide your phone? Did you change my name? When he wants to go to our go-to place Do you tell him you can't? Then go out of your way To be somewhere, any damn where I ain't",https://www.youtube.com/watch?v=5DCdL1zdpdM
23,You Proof,Morgan Wallen,https://genius.com/Morgan-wallen-you-proof-lyrics,"  Yeah, I've been throwin' down the whiskey I ought to get my money back Someone said it drowns the memory Aw, but it ain't doin' Jack Yeah, I've been sippin', I've been buzzin' Shootin' doubles like it's nothin' Aw, but nothin' makes you go away   I need something ""You proof"" Something stronger than I'm used to Yeah, I've been pourin' 90 to 100 Feel like nothing's gonna cut it, that's the hard truth Yeah, I need something ""You proof"" Aw, I need something ""You proof""   Poured 'em up 'til they're shutting 'em down, yeah You never ain't not around, yeah Don't matter what time or town, I can't get you gone Turned the bar, yeah, upside down Just lookin' for somethin' that does it I'd give up all my money   Ain't nobody sellin' nothin' ""You proof"" Something stronger than I'm used to Yeah, I've been pourin' 90 to 100 Feel like nothing's gonna cut it, that's the hard truth Yeah, I need something ""You proof"" Aw, I need something ""You proof""",https://www.youtube.com/watch?v=3CkLMG5NwUg
24,Cupid,Fifty Fifty,https://genius.com/Fifty-fifty-cupid-lyrics,"    La, la, la, la-la-la La, la-la-la, la, la-la-la   불꺼진 romantic all my life 내 주위는 온통 lovely day 내 눈 속에 비친 arrow sign ( Oh why, oh why, oh why, oh  why? )   I'm feeling lonely ( Lonely ) 그만 힐끗대고 말해줘요 hold me ( Hold me ) 다시 crying in my room 숨기고 싶어 ( Say what you say, but I want it more ) But still I want it more, more, more   I gave a second chance to Cupid 널 믿은 내가 정말 stupid 보여줄게 숨겨왔던 love, is it real? Cupid is so dumb   또 꿈길을 걷는 every day 눈 뜨면 다시 또 flew away Waiting around is a waste (Waste) 나 솔직히 지금이 편해 상상만큼 짜릿한 걸까?",https://www.youtube.com/watch?v=kSTqCq1zRg4
25,Dance The Night,Dua Lipa,https://genius.com/Dua-lipa-dance-the-night-lyrics,"  Baby, you can find me under the lights Diamonds under my eyes Turn the rhythm up, don't you wanna just Come along for the ride? Ooh, my outfit so tight You can see my heartbeat tonight I can take the heat, baby, best believe That's the moment I shine   'Cause every romance shakes and it bends Don't give a damn When the night's here, I don't do tears Baby, no chance   I could dance, I could dance, I could dance   Watch me dance, dance the night away My hеart could be burnin', but you won't see it on my face Watch me dancе, dance the night away (Uh-huh) I'll still keep the party runnin', not one hair out of place   Lately, I been movin' close to the edge Still be lookin' my best I stay on the beat, you can count on me I ain't missin' no steps",https://www.youtube.com/watch?v=84-awbiPzDE
26,Religiously,Bailey Zimmerman,https://genius.com/Bailey-zimmerman-religiously-lyrics,"  I went lookin' at pictures I didn't wanna see They brought back memories You look happy, I guess, got the life that you wanted But it ain't with me You would think by now that I wouldn't care It's been a couple years and, yeah, I've had my share Of other broken-up hearts, but I only shed real tears over ours   And now I'm in this cold bright light And this don't even feel like life 'Cause I don't have the only woman who believed in me Religiously And now I'm in the back of the church Prayin' just to stop the hurt 'Cause I don't have the only woman who was there for me Religiously   Remember watchin' you play me our song on guitar I thought I'd marry you Act like I'm happier now, but all of my friends know That ain't the truth And lately life's been good to me Mama's healthy and I'm helpin' out the whole family Lotta people know my name, I made a little change But that don't mean nothin'",https://www.youtube.com/watch?v=UYCWaK6Sbik
27,Barbie World,Nicki Minaj & Ice Spice With Aqua,https://genius.com/Ice-spice-and-nicki-minaj-barbie-world-lyrics,"  I'm always yours, ooh woah  ( Stop playin' with 'em, RIOT )   And I'm bad like the Barbie (Barbie) I'm a doll, but I still wanna party  (Party) Pink 'Vette like I'm ready to bend (Bend) I'm a ten, so I pull in a Ken Like Jazzie,  Stacie , Nicki (Grrah) All of the Barbies is pretty (Damn) All of the Barbies is bad It girls (It girls) and we ain't playin' tag  (Grrah)   Rad, but he spank me when I get bad I'm in LA, Rodeo Drive I'm in New York, Madison Ave I'm a Barbie girl (Girl), Pink Barbie Dreamhouse The way Ken be killin' shit got me yellin' out like the  Scream  house (Woo) Yellin' out, we ain't sellin' out We got money, but we ain't lendin' out We got bars, but we ain't bailin' out In that pink Ferrari, we peelin' out I told Tae bring the Bob Dylan out That pussy so cold, we just chillin' out They be yellin', yellin', ye-yellin' out It's Barbie, bitch, if you still in doubt (Oh)",https://www.youtube.com/watch?v=CUj2AWEJnwQ
28,Next Thing You Know,Jordan Davis,https://genius.com/Jordan-davis-next-thing-you-know-lyrics,"  You swear that you're stayin' single, next thing you know You meet a girl at a bar and next thing you know You get her laughin', it's 2AM You're tellin' your buddies, three months in That she ain't movin' in, the next thing you know There's a U-Haul trailer, the next thing you know Your old apartment, is y'all's new place There goes the carpet but the deer head stays   Next thing you know You're savin' money like never before, just to Spend it all at a jewelry store Gettin' down on one knee on hеr mama's porch Just prayin' she don't say, ""No"" Next thing you know Your best man givеs a half-drunk speech and you're Sunburnt on a honeymoon beach and your Left hand's gettin' used to that ring And there the next two or three years go Next thing you know   You weren't really tryin', next thing you know There's a test on the counter, next thing you know She's standin' there cryin', noddin' her head yes You're half excited, half scared to death",https://www.youtube.com/watch?v=ilnm5vID8M8
29,La Bebe,Yng Lvcas x Peso Pluma,https://genius.com/Yng-lvcas-and-peso-pluma-la-bebe-remix-lyrics,"    Desafánate, loca, luego empápate De mi cuerpo mójate, usted sabe, en él, ven,móntate ¿Qué lo que? Mi bebé en el Mercedes Benz Las estrellas en el techo, ya estelar se fue Pero sabes tú que esta noche estás pa' mí Ven, trépate encima 'e mí, manda la ubi, paso por ti   Quiere quе le ponga música Pa' que baile hasta abajo la bеbé Bebimos par de botellas Y aun así recuerda que lo hicimo' ayer Quiere que le ponga música Pa' que baile hasta abajo la bebé Bebimos par de botellas Y aun así recuerda que lo hicimo' ayer   No se le ha olvidado cómo la pasamos Fuimos a la disco y los dos bailamos pegados Como perros pegados, besos y un par de tragos Se quedó a mi lado y dijo: ""Creo me he enamorado"" Ella fuma, ella toma Es diablita, chiquita, pero picosa Me encanta cuando el pantalón me lo roza A ella le encanta, se ve en su cara lo goza",https://www.youtube.com/watch?v=3mchJ-EW9rM
30,Thought You Should Know,Morgan Wallen,https://genius.com/Morgan-wallen-thought-you-should-know-lyrics,"  What's goin' on, Mama? Somethin' just dawned on me I ain't been home in some months Been chasin' songs and women, makin' some bad decisions God knows I'm drinkin' too much   Yeah, I know you've been worryin' 'bout me You've been losin' sleep since '93   I thought you should know, that all those prayers you thought you wasted on me Must've finally made their way on through I thought you should know, I got me a new girl down there in Jefferson City, and She lets me fish whenever I want to Yeah, I'm still proud of where I came from,  still your only damn son , can you believe I'm on the radio? Just thought you should know, thought you should know, thought you should know   Oh, by the way, Mama, didn't mean to ramblе on ya How's everything back at home? Yеah, how's that garden comin'?  Is Dad still doin' dumb shit? And how'd he keep you this long?   Yeah, I'm sorry that I called you so late I just miss you, but anyways",https://www.youtube.com/watch?v=Dw9VmOLwxoM
